Gene,logFC,logCPM,LR,PValue,trended.disp,tagwise.disp,ctrl0,ctrl1,ctrl2,ctrl3,C0,C1,C3
MBD3,0.125035458,8.006128299,66.21995218,4.03E-16,0.002194123,0.002579998,6446,5081,6147,5466,6617,6243,5437
SUZ12,-0.162308221,7.23537613,66.0926949,4.30E-16,0.002780873,0.002594623,4245,3568,3463,3313,3885,3035,2888
MTHFD1L,0.162344151,7.203377454,65.73819473,5.15E-16,0.002800694,0.002310798,4120,3087,3193,2678,4273,3519,3114
DPY30,-0.331715907,5.215337002,65.38841401,6.15E-16,0.003455706,0.003670232,1077,813,1004,905,874,679,637
SOLH,0.206728931,6.5653312,65.31034256,6.40E-16,0.003075402,0.003924671,2261,1684,2462,2014,2416,2294,2080
FOXP4,0.147202945,7.50807365,65.1436217,6.96E-16,0.002594109,0.002816041,4261,3967,4181,3729,4247,4945,3907
CBS,0.12608804,7.925889974,65.08014473,7.19E-16,0.00226197,0.00403358,6835,4890,5453,4698,6566,6522,4595
GPAA1,0.180425122,6.902709755,65.03510117,7.36E-16,0.002960804,0.00308136,3260,2400,2767,2205,3266,3079,2448
TSPAN4,0.195370598,6.65015761,64.47531918,9.77E-16,0.003053048,0.005651496,3069,1533,2273,2022,2989,2296,2178
BRWD1,-0.160071084,7.203731335,64.44575629,9.92E-16,0.002800478,0.002939786,4390,3762,2988,2994,3891,3075,2874
RBM8A,-0.104739992,8.458529806,64.12734986,1.17E-15,0.001803028,0.001967797,9661,8303,8193,7444,9061,7186,7068
SCRIB,0.110814393,8.302369732,64.08082562,1.19E-15,0.001938539,0.002696609,8219,6339,7534,6482,8059,7923,6449
SORBS3,0.145152538,7.475330098,63.95830595,1.27E-15,0.002618057,0.005567135,5079,3622,3662,3394,4675,5137,3391
PPP3CB,-0.162636787,7.134390643,63.79237094,1.38E-15,0.002841729,0.002671067,4426,3682,2911,2594,4003,3072,2348
AKAP11,-0.106984269,8.328193879,63.35664619,1.72E-15,0.0019161,0.003225765,9630,8401,6345,6058,9132,6745,6176
CDC14B,-0.253872943,5.87804184,63.1564999,1.91E-15,0.003193311,0.003175489,1762,1562,1340,1159,1329,1317,1067
SUMO3,-0.151862401,7.374618531,63.04263636,2.02E-15,0.002689255,0.00309027,4716,3648,4051,3713,4038,3696,2993
BLOC1S2,-0.19559098,6.595432886,62.8369532,2.25E-15,0.003067889,0.00392947,2872,2601,1993,1894,2433,2022,1894
IRAK1,0.118165253,8.078097014,62.82942437,2.25E-15,0.002132603,0.003346804,7302,4954,6230,5850,7325,6396,5659
