Gene,Reads.FMR1.iso1,T-to-C conversions.per.read.FRM1.iso.1,Total.mRNA.binding.sites.FMR1.iso.1,Reads.FMR1.iso.7,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR1,T-to-C conversions/read,Total mRNA binding sites,Reads.FXR2,T-to-C conversions/read,Total mRNA binding sites
KLHL11,4990,0.9,61,758,0.8,49,277,0.89,22,1347,0.92,56
KLHL12,58,0.78,6,67,0.85,7,13,0.92,1,30,0.97,3
KLHL13,102,0.73,10,14,0.64,2,NA,NA,0,13,1.08,1
KLHL15,20249,0.94,17,1282,0.83,67,749,1,41,1650,1.03,62
KLHL17,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
KLHL18,77,0.81,10,62,0.98,9,NA,NA,0,5,1,1
KLHL2,NA,NA,0,59,0.88,5,NA,NA,0,8,0.88,1
KLHL20,34,0.59,5,38,0.89,3,NA,NA,0,6,1,1
KLHL21,548,0.84,44,276,0.78,26,NA,NA,0,153,0.89,13
KLHL22,NA,NA,0,46,0.76,6,NA,NA,0,NA,NA,0
KLHL23,143,0.76,13,52,0.6,7,NA,NA,0,33,1.06,4
KLHL24,181,0.79,21,25,0.88,4,11,1,3,60,1.02,6
KLHL25,NA,NA,0,9,0.67,1,NA,NA,0,NA,NA,0
KLHL26,NA,NA,0,11,0.82,2,NA,NA,0,NA,NA,0
KLHL28,69,0.77,8,NA,NA,0,NA,NA,0,NA,NA,0
KLHL29,NA,NA,0,61,0.84,9,8,0.13,1,NA,NA,0
KLHL3,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
KLHL32,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
KLHL36,295,0.8,29,249,0.82,28,NA,NA,0,19,0.84,3
KLHL5,149,0.72,16,38,0.61,6,NA,NA,0,6,1.17,1
KLHL6,NA,NA,0,NA,NA,0,7,0.43,2,NA,NA,0
KLHL7,16,1.06,2,38,1.71,2,NA,NA,0,NA,NA,0
KLHL8,569,0.79,52,64,0.86,8,15,1,2,104,0.97,10
KLHL9,406,0.8,30,78,0.95,8,23,1.17,2,107,0.99,6
KLRAQ1,NA,NA,0,NA,NA,0,NA,NA,0,6,1,1
KLRG1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KLRG2,NA,NA,0,NA,NA,0,5,1,1,NA,NA,0
KNTC1,48,0.67,7,108,0.87,11,5,0.2,2,6,0.83,1
KPNA1,261,0.81,25,28,0.79,4,10,1.1,2,37,0.95,4
KPNA2,816,0.89,21,180,0.88,12,33,0.76,4,429,1,11
KPNA3,343,0.85,30,90,0.78,9,NA,NA,0,54,1.04,6
KPNA4,572,0.81,45,149,0.8,15,13,1.08,3,85,0.91,9
KPNA5,20,0.85,2,8,1.13,1,6,0.83,2,31,1,5
KPNA6,750,0.87,47,276,0.76,24,NA,NA,0,203,1.03,17
KPNB1,3001,0.87,39,1615,0.85,45,93,1.09,9,869,1.02,33
KRAS,1304,0.88,51,219,0.79,14,40,1.1,7,69,1.3,7
KRBA1,NA,NA,0,13,0.92,2,NA,NA,0,NA,NA,0
KRBA2,151,0.86,13,NA,NA,0,8,1.13,1,10,1.3,1
KRBOX1,5,0.6,1,12,1,2,NA,NA,0,NA,NA,0
KRCC1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KREMEN1,14,0.71,2,41,0.78,5,NA,NA,0,NA,NA,0
KRI1,99,0.8,8,110,0.8,8,NA,NA,0,17,0.94,3
KRR1,1264,0.89,45,124,0.81,9,71,1.13,8,346,1.01,25
KRT10,NA,NA,0,23,0.74,2,NA,NA,0,NA,NA,0
KRT18,13,0.62,2,6,0.33,1,NA,NA,0,12,0.83,1
KRT19,11,0.55,2,32,0.84,4,NA,NA,0,NA,NA,0
KRT35,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
KRT8,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KRT85,7,0.14,1,NA,NA,0,NA,NA,0,NA,NA,0
KRTAP19-1,6,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
KRTCAP2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
KSR1,5,0.6,1,11,1,2,NA,NA,0,NA,NA,0
KSR2,NA,NA,0,5,0.6,1,23,0.13,1,38,0.08,1
KTI12,NA,NA,0,NA,NA,0,NA,NA,0,8,1.25,1
KTN1,82,0.74,5,18,0.61,3,NA,NA,0,9,0.78,1
L2HGDH,29,0.69,3,39,0.72,5,NA,NA,0,11,0.64,2
L3MBTL2,54,0.78,7,78,0.74,9,NA,NA,0,12,1.08,2
L3MBTL3,NA,NA,0,25,1,1,NA,NA,0,NA,NA,0
L3MBTL4,5,0.2,1,NA,NA,0,23,0.22,1,15,0.13,1
LACE1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LAGE3,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
LAMA1,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LAMA2,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LAMA3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LAMA4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LAMA5,NA,NA,0,13,1.38,2,NA,NA,0,6,1,1
LAMB1,52,1.21,4,35,0.94,5,NA,NA,0,NA,NA,0
LAMB2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LAMC1,196,0.69,26,149,0.8,14,NA,NA,0,43,1.07,5
LAMP1,NA,NA,0,NA,NA,0,NA,NA,0,9,0.89,1
LAMP2,41,0.95,5,11,1,1,15,1.13,2,NA,NA,0
LAMTOR1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LAMTOR2,NA,NA,0,5,0.6,1,NA,NA,0,NA,NA,0
LANCL1,68,0.74,9,6,0.83,1,11,1,4,NA,NA,0
LANCL2,11,0.82,2,NA,NA,0,NA,NA,0,10,0.9,1
LAP3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LAPTM4A,7,0.57,1,11,1,2,NA,NA,0,NA,NA,0
LAPTM4B,5,0.8,1,6,0.33,1,NA,NA,0,NA,NA,0
LARGE,36,0.67,6,64,0.7,7,NA,NA,0,6,0.83,1
LARP1,3324,0.87,68,2761,0.84,83,12,0.92,3,365,0.96,33
LARP1B,8,0.5,1,14,1.43,2,NA,NA,0,NA,NA,0
LARP4,382,0.76,38,71,0.42,3,40,1.03,3,142,0.87,10
LARP4B,1049,0.83,59,457,0.85,37,21,1.19,4,354,1.01,22
LARP6,90,0.79,10,17,0.53,2,NA,NA,0,17,1.24,2
LARP7,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LARS,563,0.8,41,210,0.77,18,21,0.86,4,105,0.99,8
LARS2,33,0.61,6,83,0.83,8,NA,NA,0,NA,NA,0
LAS1L,43,0.65,6,24,0.83,3,NA,NA,0,10,1,1
LASP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LATS1,1922,0.89,81,231,0.78,19,142,1,15,432,1.01,31
LATS2,145,0.72,15,105,0.85,11,6,1,1,156,1.04,11
LBH,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LBR,NA,NA,0,6,1.5,1,43,1,5,311,0.97,20
LCA5,17,0.65,3,12,0.75,1,NA,NA,0,19,1,3
LCLAT1,207,0.89,16,31,0.68,3,30,1.23,4,27,0.67,3
LCMT2,27,0.67,4,37,0.89,5,NA,NA,0,11,0.73,2
LCOR,1119,0.85,80,165,0.86,12,92,1.08,12,80,0.96,11
LCP1,36,0.67,4,10,0.3,2,NA,NA,0,7,0.57,1
LDB1,17,0.65,3,85,0.88,8,NA,NA,0,17,1,3
LDHA,61,0.75,5,53,0.74,5,NA,NA,0,5,0.4,1
LDHB,362,0.81,18,100,0.78,9,27,1.11,1,54,1.19,3
LDLR,12,0.75,2,13,0.54,2,NA,NA,0,NA,NA,0
LDLRAD3,8,0.88,1,NA,NA,0,NA,NA,0,NA,NA,0
LDOC1L,94,0.73,13,155,0.73,20,NA,NA,0,6,1.17,1
LEF1,NA,NA,0,22,0.23,2,NA,NA,0,NA,NA,0
LEMD2,45,0.69,5,62,0.81,4,NA,NA,0,41,1.02,3
LEMD3,258,0.86,20,155,0.79,11,NA,NA,0,55,0.89,7
LENG8,NA,NA,0,105,0.73,12,NA,NA,0,12,1.08,2
LEO1,28,0.64,4,6,0.33,1,NA,NA,0,5,0.8,1
LEPR,25,0.56,4,7,0.29,1,NA,NA,0,6,1.33,1
LEPRE1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LEPREL2,NA,NA,0,18,0.94,3,NA,NA,0,NA,NA,0
LEPROTL1,210,0.82,19,30,0.53,2,5,1.6,1,21,1.24,3
LETM1,39,0.72,6,108,0.75,9,NA,NA,0,6,1.17,1
LETM2,7,1,1,5,1.2,1,NA,NA,0,NA,NA,0
LETMD1,5,0.8,1,NA,NA,0,NA,NA,0,NA,NA,0
LGALS3BP,5,0.6,1,25,0.88,4,NA,NA,0,NA,NA,0
LGI2,38,0.71,5,9,1,1,NA,NA,0,NA,NA,0
LGMN,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LGR4,296,0.8,23,166,0.87,13,18,1.06,4,107,1.07,9
LGR5,7,0.71,1,12,1.17,2,NA,NA,0,NA,NA,0
LGSN,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
LHFP,NA,NA,0,24,0.83,3,NA,NA,0,NA,NA,0
LHFPL2,587,0.85,41,181,0.89,14,5,1,1,10,1.2,2
LHFPL3,NA,NA,0,NA,NA,0,NA,NA,0,11,1,1
LHFPL4,NA,NA,0,5,1.6,1,NA,NA,0,NA,NA,0
LHPP,NA,NA,0,16,1.88,1,NA,NA,0,NA,NA,0
LHX2,8,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
LHX4,5,0.8,1,10,0.4,2,NA,NA,0,NA,NA,0
LIFR,1253,0.83,87,363,0.8,32,35,1.09,5,147,0.99,17
LIG1,6,0.83,1,31,0.68,5,NA,NA,0,NA,NA,0
LIG3,108,0.66,13,115,0.89,9,NA,NA,0,24,0.92,2
LIG4,243,0.77,22,42,0.83,5,104,0.86,14,362,0.99,21
LIMA1,43,0.81,7,7,0.86,1,NA,NA,0,NA,NA,0
LIMCH1,11,0.73,2,56,0.68,2,NA,NA,0,NA,NA,0
LIMD1,365,0.78,33,248,0.8,23,NA,NA,0,6,1,1
LIME1,NA,NA,0,10,0.9,1,NA,NA,0,NA,NA,0
LIMK1,NA,NA,0,11,0.73,2,NA,NA,0,NA,NA,0
LIMK2,NA,NA,0,24,0.92,4,NA,NA,0,15,1,2
LIMS1,40,0.98,3,15,0.73,3,14,0.86,1,45,1.04,4
LIN28B,3337,0.92,50,677,0.82,42,73,0.97,9,341,1.03,23
LIN37,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LIN52,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LIN54,51,0.69,6,NA,NA,0,NA,NA,0,5,1.2,1
LIN7C,168,0.85,18,5,1.2,1,29,1.03,6,18,1.39,2
LIN9,NA,NA,0,NA,NA,0,NA,NA,0,32,1,5
LINGO1,10,0.4,1,20,0.55,2,NA,NA,0,NA,NA,0
LINS,NA,NA,0,6,1.33,1,NA,NA,0,NA,NA,0
LIPA,17,0.71,2,5,0.8,1,NA,NA,0,NA,NA,0
LITAF,74,0.76,7,77,0.79,8,NA,NA,0,13,0.85,2
LIX1L,5,0.2,1,21,0.81,3,NA,NA,0,NA,NA,0
LLGL1,45,0.87,6,201,0.75,19,NA,NA,0,42,0.81,6
LLGL2,NA,NA,0,19,1,1,NA,NA,0,NA,NA,0
LMAN1,1020,0.82,52,94,0.86,8,38,1,8,73,0.89,10
LMAN2,13,0.69,2,12,0.67,2,NA,NA,0,26,0.92,4
LMAN2L,13,0.77,2,7,0.86,1,NA,NA,0,25,1,3
LMBR1,97,0.64,11,39,0.62,5,NA,NA,0,NA,NA,0
LMBR1L,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
LMBRD2,56,0.59,6,23,0.78,4,8,0.25,1,68,0.49,4
LMCD1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LMF1,NA,NA,0,12,1,2,NA,NA,0,NA,NA,0
LMF2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LMLN,7,2,1,134,1.93,2,NA,NA,0,NA,NA,0
LMNA,NA,NA,0,NA,NA,0,NA,NA,0,13,1.08,1
LMNB1,202,0.72,16,143,0.81,14,8,1,1,100,1.13,5
LMNB2,953,0.81,47,713,0.81,44,49,0.98,5,584,0.98,42
LMO4,28,0.89,4,47,0.74,7,NA,NA,0,NA,NA,0
LMO7,6,0.67,1,7,0.71,1,NA,NA,0,6,1,1
LMTK2,2599,0.87,85,2264,0.85,87,142,0.9,14,555,0.97,31
LMTK3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LMX1B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LNPEP,431,0.77,44,103,0.8,12,10,1.2,1,48,0.94,7
LNX1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LNX2,57,0.72,8,13,0.62,1,NA,NA,0,99,1.21,10
LOH12CR1,NA,NA,0,11,1,2,NA,NA,0,NA,NA,0
LONP1,112,0.84,10,305,0.79,20,NA,NA,0,57,1.02,5
LONP2,83,0.82,7,160,0.78,9,NA,NA,0,15,1,2
LONRF1,488,0.69,37,202,0.83,22,NA,NA,0,53,0.87,5
LONRF2,768,0.86,61,511,0.81,41,NA,NA,0,5,1,1
LONRF3,182,0.82,19,68,0.74,8,NA,NA,0,18,1.28,2
LOX,18,0.61,3,NA,NA,0,NA,NA,0,NA,NA,0
LOXL1,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
LOXL3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LPAR1,10,0.4,2,10,0.7,2,NA,NA,0,16,1.13,2
LPAR3,13,0.77,2,5,0.8,1,NA,NA,0,NA,NA,0
LPCAT1,569,0.82,33,259,0.85,18,NA,NA,0,68,0.94,8
LPCAT3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LPGAT1,4291,0.89,66,1325,0.84,57,166,0.97,15,240,0.95,23
LPHN1,292,0.75,30,456,0.77,45,NA,NA,0,32,0.75,4
LPHN2,3281,0.9,78,1048,0.84,57,122,0.98,18,347,1.01,27
LPHN3,NA,NA,0,118,1.16,4,NA,NA,0,NA,NA,0
LPIN1,79,0.61,10,40,0.63,5,NA,NA,0,21,1.14,3
LPIN2,67,0.82,8,158,0.94,13,NA,NA,0,14,1.14,1
LPIN3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LPP,861,0.79,74,197,0.62,21,25,1.2,5,173,1,21
LRBA,43,0.56,4,93,0.6,12,9,1,1,23,1,3
LRCH1,7,0.29,1,10,1.1,2,NA,NA,0,NA,NA,0
LRCH2,NA,NA,0,NA,NA,0,NA,NA,0,30,0.97,4
LRCH3,NA,NA,0,6,1,1,NA,NA,0,NA,NA,0
LRCH4,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LRFN1,141,0.74,14,283,0.82,19,NA,NA,0,13,1,2
LRFN2,NA,NA,0,18,1,1,NA,NA,0,NA,NA,0
LRFN3,5,1,1,47,0.83,7,NA,NA,0,NA,NA,0
LRFN4,NA,NA,0,38,0.66,4,NA,NA,0,NA,NA,0
LRIF1,106,0.71,14,16,0.81,3,67,1.09,9,125,1.08,10
LRIG1,62,0.81,8,70,0.74,10,NA,NA,0,18,0.94,2
LRIG2,126,0.87,14,28,0.46,4,6,0.83,1,15,0.93,2
LRIG3,138,0.74,15,53,0.66,8,5,1,1,10,0.9,2
LRP1,NA,NA,0,10,0.3,2,NA,NA,0,NA,NA,0
LRP10,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
LRP11,18,0.78,3,32,0.53,5,NA,NA,0,NA,NA,0
LRP12,332,0.86,28,22,1,4,42,1.1,6,62,1.13,8
LRP1B,NA,NA,0,24,1.63,2,NA,NA,0,NA,NA,0
LRP2,72,0.78,10,70,0.8,10,NA,NA,0,NA,NA,0
LRP3,58,0.41,4,196,0.75,14,NA,NA,0,30,0.83,3
LRP4,9,0.44,1,29,0.76,4,NA,NA,0,NA,NA,0
LRP5,144,0.77,15,333,0.83,29,NA,NA,0,NA,NA,0
LRP5L,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LRP6,2914,0.87,121,1315,0.85,72,17,1.12,3,160,1.01,21
LRP8,38,0.71,3,74,0.74,8,NA,NA,0,NA,NA,0
LRPAP1,62,0.68,8,31,0.84,4,NA,NA,0,11,1.18,1
LRPPRC,343,0.73,34,112,0.78,13,5,1.2,2,55,0.89,8
LRR1,NA,NA,0,NA,NA,0,NA,NA,0,6,0.5,1
LRRC1,129,0.88,11,25,0.72,2,NA,NA,0,11,0.82,1
LRRC14,NA,NA,0,20,0.85,3,NA,NA,0,NA,NA,0
LRRC16A,NA,NA,0,15,0.87,2,NA,NA,0,5,0.2,1
LRRC20,NA,NA,0,10,1,2,NA,NA,0,NA,NA,0
LRRC28,12,0.75,1,NA,NA,0,NA,NA,0,5,0.8,1
LRRC32,10,1.9,1,6,1,1,7,1.57,1,NA,NA,0
LRRC36,5,0.2,1,NA,NA,0,NA,NA,0,NA,NA,0
LRRC37A3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LRRC37B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LRRC3B,NA,NA,0,NA,NA,0,NA,NA,0,16,0.06,1
LRRC40,6,0.67,1,NA,NA,0,NA,NA,0,NA,NA,0
LRRC41,138,0.74,13,348,0.78,26,NA,NA,0,60,0.83,9
LRRC42,NA,NA,0,16,0.5,3,NA,NA,0,8,1.25,1
LRRC47,124,0.76,12,119,0.77,14,NA,NA,0,73,0.78,7
LRRC49,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LRRC4B,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LRRC4C,NA,NA,0,11,2,1,NA,NA,0,NA,NA,0
LRRC57,63,0.63,6,21,0.81,3,NA,NA,0,31,1.06,3
LRRC58,1990,0.88,67,168,0.78,19,155,1,14,427,0.94,26
LRRC59,66,0.61,9,73,0.73,8,NA,NA,0,272,1.12,2
LRRC6,8,0.13,1,NA,NA,0,NA,NA,0,NA,NA,0
LRRC61,NA,NA,0,12,0.83,2,NA,NA,0,NA,NA,0
LRRC68,NA,NA,0,24,0.92,3,NA,NA,0,NA,NA,0
LRRC7,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LRRC8A,143,0.82,14,115,0.77,13,NA,NA,0,22,1.05,2
LRRC8B,444,0.76,38,73,0.75,8,48,0.9,6,43,1.07,4
LRRC8C,750,0.78,59,78,0.81,9,26,1,4,20,1.05,2
LRRC8D,523,0.82,35,121,0.74,12,26,1.04,4,37,0.84,6
LRRC8E,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LRRFIP1,241,0.81,20,65,0.77,7,31,0.81,3,66,0.88,3
LRRFIP2,NA,NA,0,20,1.1,3,NA,NA,0,NA,NA,0
LRRK2,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LRRTM4,6,0.5,1,NA,NA,0,NA,NA,0,NA,NA,0
LRWD1,8,0.88,1,21,0.81,3,NA,NA,0,NA,NA,0
LSAMP,64,0.63,5,5,0.6,1,22,0.18,2,14,0.57,2
LSG1,58,0.79,6,38,0.71,5,NA,NA,0,5,0.6,1
LSM1,NA,NA,0,17,0.59,2,NA,NA,0,NA,NA,0
LSM10,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LSM11,1200,0.85,62,379,0.83,23,12,1,1,86,1.02,7
LSM12,NA,NA,0,6,0.5,1,NA,NA,0,NA,NA,0
LSM14A,450,0.81,28,340,0.84,18,19,0.95,1,154,0.9,11
LSM14B,143,0.9,10,34,0.65,4,NA,NA,0,16,0.69,2
LSM2,NA,NA,0,31,0.58,4,5,1,2,NA,NA,0
LSM4,36,0.75,4,60,0.88,5,NA,NA,0,14,1.21,1
LSM5,NA,NA,0,8,0.88,1,NA,NA,0,NA,NA,0
LSM6,6,1,1,NA,NA,0,NA,NA,0,NA,NA,0
LSM7,NA,NA,0,5,0.4,1,NA,NA,0,NA,NA,0
LSMD1,NA,NA,0,8,0.5,1,NA,NA,0,NA,NA,0
LSR,5,0.2,1,24,0.71,4,NA,NA,0,6,0.83,1
LSS,NA,NA,0,5,0.2,1,NA,NA,0,NA,NA,0
LTA4H,193,0.73,20,161,0.77,11,NA,NA,0,30,1,4
LTBP1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LTBP3,21,0.67,3,NA,NA,0,NA,NA,0,5,1,1
LTBP4,21,0.62,3,38,1.05,5,NA,NA,0,NA,NA,0
LTN1,647,0.79,56,144,0.78,13,33,0.94,7,110,1.04,11
LTV1,61,0.7,8,39,0.72,5,NA,NA,0,34,0.94,1
LUC7L,5,0.6,1,29,0.86,4,NA,NA,0,NA,NA,0
LUC7L2,1579,0.9,42,363,0.85,23,118,0.83,12,461,0.92,28
LUC7L3,137,0.76,14,66,0.85,7,NA,NA,0,12,0.75,2
LUZP1,1289,0.86,77,423,0.8,33,30,1,4,133,1.01,15
LY6E,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LYAR,29,0.72,4,6,0.83,1,NA,NA,0,NA,NA,0
LYN,44,0.75,5,28,0.93,3,5,1,1,NA,NA,0
LYPD1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LYPD6,43,0.7,6,17,1,3,NA,NA,0,NA,NA,0
LYPLA1,22,0.91,2,8,1.13,1,6,1.33,2,12,0.83,1
LYPLA2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LYPLAL1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LYRM2,143,0.82,13,NA,NA,0,NA,NA,0,36,0.89,5
LYRM7,12,0.83,2,5,0.4,1,NA,NA,0,NA,NA,0
LYSMD2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LYSMD3,90,0.76,11,20,0.9,3,12,0.83,3,NA,NA,0
LYSMD4,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
LYST,229,0.69,30,38,0.87,5,5,1.2,2,51,1.02,6
LZIC,191,0.8,13,9,1,1,16,1.06,2,30,1.03,1
LZTR1,25,0.88,4,47,0.87,5,NA,NA,0,17,1.06,3
LZTS1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
LZTS2,NA,NA,0,96,0.84,11,NA,NA,0,NA,NA,0
M6PR,25,0.72,3,32,0.81,3,NA,NA,0,6,1.17,1
MACF1,2670,0.81,160,2121,0.83,129,5,1.2,1,236,1,24
MACROD1,NA,NA,0,11,1,2,NA,NA,0,NA,NA,0
MACROD2,NA,NA,0,11,1.09,1,NA,NA,0,NA,NA,0
MAD1L1,NA,NA,0,21,1.19,4,NA,NA,0,12,1,1
MAD2L1,60,0.68,6,NA,NA,0,10,0.9,1,19,1.16,1
MAD2L1BP,20,0.65,3,NA,NA,0,NA,NA,0,9,1,1
MAD2L2,NA,NA,0,27,0.7,4,NA,NA,0,NA,NA,0
MADD,234,0.76,28,396,0.84,40,NA,NA,0,53,0.85,9
MAEA,64,0.66,7,31,0.87,4,NA,NA,0,26,1.12,3
MAF,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAF1,59,0.76,6,50,0.74,6,NA,NA,0,NA,NA,0
MAFB,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAFG,49,0.57,6,41,0.85,5,NA,NA,0,30,1,4
MAFK,NA,NA,0,7,1,1,NA,NA,0,73,1.08,3
MAGED1,NA,NA,0,20,0.65,3,NA,NA,0,11,0.91,2
MAGED2,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAGEF1,24,0.79,3,13,0.85,2,NA,NA,0,NA,NA,0
MAGI1,18,0.78,3,42,0.81,5,NA,NA,0,NA,NA,0
MAGI2,13,1,1,184,0.99,2,NA,NA,0,NA,NA,0
MAGI3,19,0.53,3,31,0.71,4,NA,NA,0,NA,NA,0
MAGOH,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAGT1,172,0.84,15,6,0.33,1,13,1.15,2,24,1.21,3
MAK16,348,0.84,26,66,0.85,7,14,1,3,22,1.14,3
MALT1,39,0.46,5,22,0.95,4,NA,NA,0,NA,NA,0
MAMDC2,NA,NA,0,NA,NA,0,7,1,1,NA,NA,0
MAML1,500,0.84,40,321,0.79,29,NA,NA,0,112,1.01,12
MAML2,NA,NA,0,7,1,1,NA,NA,0,NA,NA,0
MAML3,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAMLD1,NA,NA,0,5,0.6,1,7,1,1,NA,NA,0
MAN1A1,68,0.71,7,10,0.3,1,5,0.8,1,13,1.08,2
MAN1A2,323,0.76,36,86,0.92,11,16,0.88,4,28,1,2
MAN1B1,NA,NA,0,12,0.75,2,NA,NA,0,NA,NA,0
MAN2A1,92,0.86,11,53,0.77,7,NA,NA,0,16,0.94,3
MAN2A2,16,0.75,2,18,0.33,3,NA,NA,0,NA,NA,0
MAN2B1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAN2B2,NA,NA,0,13,0.77,1,NA,NA,0,NA,NA,0
MAN2C1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MANBA,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
MANBAL,6,1,1,16,0.81,3,NA,NA,0,NA,NA,0
MANEA,18,0.94,3,NA,NA,0,5,1,1,NA,NA,0
MANEAL,113,0.86,6,108,0.74,12,NA,NA,0,5,1,1
MANF,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MANSC1,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAOA,NA,NA,0,24,1,2,NA,NA,0,NA,NA,0
MAP1A,NA,NA,0,51,0.94,7,NA,NA,0,5,1,1
MAP1B,8386,0.89,105,3373,0.85,123,888,0.94,65,1411,0.96,87
MAP1S,131,0.8,12,302,0.74,22,NA,NA,0,246,0.87,25
MAP2,NA,NA,0,6,2,1,NA,NA,0,NA,NA,0
MAP2K1,49,0.73,6,33,0.73,4,NA,NA,0,NA,NA,0
MAP2K2,NA,NA,0,11,0.45,2,NA,NA,0,9,1.11,1
MAP2K3,46,0.7,6,30,0.67,4,NA,NA,0,NA,NA,0
MAP2K4,35,0.83,5,17,0.76,2,6,1,1,NA,NA,0
MAP2K5,NA,NA,0,10,0.9,2,NA,NA,0,NA,NA,0
MAP2K6,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
MAP2K7,83,0.86,7,90,0.87,7,NA,NA,0,62,0.98,3
MAP3K10,NA,NA,0,17,0.71,3,NA,NA,0,5,1,1
MAP3K11,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0
MAP3K13,62,0.6,9,NA,NA,0,5,0.6,2,35,0.8,6
MAP3K14,NA,NA,0,18,1,2,NA,NA,0,NA,NA,0
MAP3K2,1557,0.85,89,524,0.81,37,48,0.92,9,266,1.01,21
MAP3K3,16,1.06,2,68,0.81,9,NA,NA,0,21,1.29,3
MAP3K4,341,0.74,33,136,0.54,18,6,1,2,NA,NA,0
MAP3K5,106,0.79,12,83,0.75,7,NA,NA,0,44,0.89,7
MAP3K7,220,0.75,23,33,0.88,4,23,0.96,4,68,0.81,7
MAP3K9,16,0.69,2,NA,NA,0,NA,NA,0,NA,NA,0
MAP4,504,0.81,38,510,0.81,49,5,1,1,111,0.97,11
MAP4K3,NA,NA,0,5,1,1,NA,NA,0,NA,NA,0
