Gene symbol,mean(ASD) - mean(CTRL),p-value,q-value,Neurogenesis,SFARI
CNKSR3,-0.482675273,0.000248648,0.00856954,FALSE,FALSE
CNNM1,0.361898962,0.006152455,0.040678886,FALSE,FALSE
CNOT1,0.509876381,7.84E-06,0.001540776,FALSE,FALSE
CNOT6L,0.376836132,0.004328725,0.033979406,FALSE,FALSE
CNOT7,-0.2905127,0.004196493,0.033325692,FALSE,FALSE
CNTN2,0.351209554,0.007844865,0.046375337,FALSE,FALSE
COG3,0.347447846,0.00840496,0.048027,FALSE,FALSE
COL4A2,-0.433005038,0.001025437,0.016690879,FALSE,FALSE
COL9A2,0.42388916,0.001275835,0.018172789,FALSE,FALSE
COLQ,0.341715543,0.001045698,0.01680008,FALSE,FALSE
COMMD2,-0.360438868,0.006332516,0.041357415,FALSE,FALSE
COMMD7,-0.591691976,6.23E-06,0.0015153,FALSE,FALSE
COMTD1,0.410312563,0.00184842,0.022496967,FALSE,FALSE
COPB2,-0.397880222,0.002544069,0.02621338,FALSE,FALSE
COPS4,-0.412547416,0.001710977,0.021622932,FALSE,FALSE
COPZ2,0.479699522,0.000269949,0.008897379,FALSE,FALSE
COQ6,0.280522388,0.004975676,0.036760851,FALSE,FALSE
CORO6,0.477234402,0.0002861,0.009180837,FALSE,FALSE
COX11,-0.388218889,0.003227879,0.029333517,FALSE,FALSE
COX15,0.325626384,0.001911903,0.022964977,FALSE,FALSE
COX17,-0.353475551,0.007396133,0.044908924,FALSE,FALSE
COX4NB,-0.368970642,0.005202168,0.037773716,FALSE,FALSE
COX5B,-0.462351751,0.000438253,0.011074562,FALSE,FALSE
COX6A1,-0.5429396,3.48E-05,0.003171732,FALSE,FALSE
COX6C,-0.348179105,0.008355654,0.047877857,FALSE,FALSE
COX7A2,-0.435061533,0.000940814,0.016064181,FALSE,FALSE
COX7B,-0.393483435,0.00282286,0.027303202,FALSE,FALSE
COX7C,-0.535148776,4.48E-05,0.00380344,FALSE,FALSE
COX8A,-0.370187165,0.0049549,0.036697366,FALSE,FALSE
CPNE7,0.346636832,0.008623513,0.04869104,FALSE,FALSE
CPSF2,-0.374568977,0.00448417,0.034775522,FALSE,FALSE
CRAMP1L,0.359342475,0.006467772,0.041680757,FALSE,FALSE
CREB1,0.427919831,0.001159192,0.017495884,FALSE,FALSE
CRISP1,0.375709741,0.001664689,0.021355146,FALSE,FALSE
CRLF2,0.35375843,0.007383856,0.044908924,FALSE,FALSE
CRYGD,0.354037031,0.007356417,0.044845663,FALSE,FALSE
CRYGS,0.508696686,0.000108478,0.005750206,FALSE,FALSE
CRYL1,-0.548632264,2.92E-05,0.002965451,FALSE,FALSE
